angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"(286, 268, 259, 259)",0.0,0.22,0.02,0.51,0.14,0.05
0.09,"(285, 272, 257, 257)",0.0,0.21,0.08,0.47,0.1,0.04
0.06,"(285, 271, 258, 258)",0.0,0.25,0.08,0.44,0.11,0.06
0.09,"(298, 273, 242, 242)",0.0,0.09,0.03,0.69,0.09,0.01
0.13,"(287, 275, 254, 254)",0.0,0.36,0.01,0.27,0.12,0.12
0.05,"(288, 279, 249, 249)",0.0,0.37,0.01,0.1,0.08,0.39
0.14,"(305, 281, 236, 236)",0.0,0.22,0.02,0.44,0.11,0.06
0.16,"(307, 282, 232, 232)",0.0,0.37,0.02,0.29,0.1,0.06
0.06,"(281, 276, 254, 254)",0.0,0.36,0.01,0.24,0.17,0.16
0.1,"(284, 278, 258, 258)",0.0,0.24,0.02,0.25,0.18,0.2
0.05,"(291, 278, 255, 255)",0.0,0.15,0.01,0.32,0.1,0.37
0.06,"(285, 275, 258, 258)",0.0,0.16,0.01,0.28,0.21,0.28
0.04,"(289, 275, 256, 256)",0.0,0.15,0.01,0.29,0.2,0.32
0.05,"(286, 270, 260, 260)",0.0,0.19,0.01,0.34,0.23,0.18
0.05,"(295, 275, 263, 263)",0.0,0.09,0.01,0.49,0.22,0.14
0.05,"(295, 273, 265, 265)",0.01,0.17,0.01,0.33,0.26,0.17
0.05,"(293, 275, 255, 255)",0.0,0.2,0.01,0.19,0.21,0.34
0.03,"(293, 274, 256, 256)",0.0,0.14,0.0,0.11,0.1,0.61
0.02,"(293, 274, 257, 257)",0.0,0.15,0.0,0.13,0.11,0.58
0.05,"(295, 276, 255, 255)",0.0,0.18,0.0,0.33,0.29,0.15
0.03,"(290, 266, 265, 265)",0.0,0.22,0.01,0.32,0.22,0.2
0.02,"(292, 266, 265, 265)",0.0,0.19,0.01,0.47,0.16,0.15
0.06,"(304, 279, 259, 259)",0.0,0.09,0.02,0.65,0.09,0.1
0.04,"(292, 265, 268, 268)",0.0,0.31,0.01,0.32,0.17,0.15
